# AEROCUBE 6A TLE list generated on 2018-09-21 15:08:40.883252
# epoch, line1, line2 
2018-04-11 05:21:03.970368, 1 40045U 14033AM  18101.22296262  .00000437  00000-0  70443-4 0  9992, 2 40045  97.8346 343.0106 0059459  49.9227 310.7175 14.75101469204653
2018-04-12 09:01:36.806016, 1 40045U 14033AM  18102.37612044  .00000413  00000-0  66951-4 0  9992, 2 40045  97.8344 344.1269 0059421  46.2882 314.3227 14.75102334204828
2018-04-13 12:42:09.531936, 1 40045U 14033AM  18103.52927699  .00000408  00000-0  66337-4 0  9997, 2 40045  97.8343 345.2433 0059375  42.6548 317.9249 14.75103355204994
2018-04-14 14:45:01.419264, 1 40045U 14033AM  18104.61459976  .00000388  00000-0  63357-4 0  9992, 2 40045  97.8341 346.2939 0059320  39.2254 321.3232 14.75104212205153
2018-04-15 15:10:12.474048, 1 40045U 14033AM  18105.63208882  .00000377  00000-0  61837-4 0  9992, 2 40045  97.8339 347.2789 0059265  36.0161 324.5019 14.75105146205306
2018-04-16 13:57:42.718752, 1 40045U 14033AM  18106.58174443 +.00000363 +00000-0 +59858-4 0  9997, 2 40045 097.8337 348.1981 0059210 033.0179 327.4706 14.75106013205202
2018-04-16 15:35:23.449344, 1 40045U 14033AM  18106.64957696  .00000362  00000-0  59707-4 0  9995, 2 40045  97.8337 348.2638 0059207  32.8032 327.6831 14.75106074205458
2018-04-18 14:48:04.503456, 1 40045U 14033AM  18108.61671879 +.00000358 +00000-0 +59083-4 0  9992, 2 40045 097.8333 350.1680 0059081 026.5644 333.8572 14.75107715205502
2018-04-19 03:49:30.261792, 1 40045U 14033AM  18109.15937803  .00000350  00000-0  57922-4 0  9996, 2 40045  97.8332 350.6932 0059042  24.8494 335.5538 14.75108169205827
2018-04-20 04:14:41.021088, 1 40045U 14033AM  18110.17686367  .00000330  00000-0  55079-4 0  9995, 2 40045  97.8331 351.6780 0058967  21.6289 338.7391 14.75108940205975
2018-04-21 04:39:51.677568, 1 40045U 14033AM  18111.19434812  .00000397  00000-0  64810-4 0  9990, 2 40045  97.8329 352.6629 0058893  18.3954 341.9367 14.75110283206125
2018-04-22 05:05:02.289120, 1 40045U 14033AM  18112.21183205  .00000407  00000-0  66278-4 0  9993, 2 40045  97.8328 353.6477 0058813  15.1500 345.1453 14.75111220206270
2018-04-23 05:30:12.835872, 1 40045U 14033AM  18113.22931523  .00000382  00000-0  62635-4 0  9994, 2 40045  97.8327 354.6325 0058730  11.9178 348.3405 14.75112037206421
2018-04-24 05:55:23.322144, 1 40045U 14033AM  18114.24679771  .00000355  00000-0  58688-4 0  9994, 2 40045  97.8326 355.6173 0058651   8.6771 351.5438 14.75112865206573
2018-04-25 14:28:57.212544, 1 40045U 14033AM  18115.60343996  .00000372  00000-0  61163-4 0  9993, 2 40045  97.8325 356.9303 0058545   4.3391 355.8314 14.75114185206773
2018-04-26 14:54:07.583040, 1 40045U 14033AM  18116.62092110  .00000327  00000-0  54695-4 0  9997, 2 40045  97.8323 357.9151 0058462   1.0717 359.0607 14.75114789206925
2018-04-27 13:41:37.223808, 1 40045U 14033AM  18117.57056972 +.00000297 +00000-0 +50436-4 0  9993, 2 40045 097.8322 358.8342 0058381 358.0312 002.0659 14.75115398206820
2018-04-28 14:06:47.516544, 1 40045U 14033AM  18118.58804996 +.00000281 +00000-0 +48120-4 0  9992, 2 40045 097.8321 359.8190 0058294 354.7692 005.2901 14.75116071206978
2018-04-29 14:31:57.760896, 1 40045U 14033AM  18119.60552964 +.00000289 +00000-0 +49339-4 0  9992, 2 40045 097.8319 000.8037 0058201 351.4929 008.5288 14.75116844207123
